Sr. No.,State,Work,Work ID,IDA,MP Name,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ ),expenditure_amount,threshold_proximity_pct,vendor_payout_velocity,vendor_cumulative_30d,cumulative_vendor_spend_vs_threshold_pct,mp_total_allocation,amount_to_mp_budget_pct,year_month,ida_monthly_txns,risk_output,risk_score
58598,58599,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18074/2024-2025/136925,KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA),KALI CHARAN MUNDA,KHUNTI(ST),2024-11-26,ASSISTANT ENGINEER ZILA PARISHAD KHUNTI,Payment Success,320000,320000.0,0.07,40,19920000.0,0.0,147000000.0,0.21768707482993196,2024-11,39,"{'Work ID': 'WS/MP18074/2024-2025/136925', 'risk_score': 14.9, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 320000.0, 'threshold_proximity_pct': 0.07, 'vendor_30d_frequency': 40, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.22, 'ida_monthly_txns': 39}, 'raw_anomaly_score': 0.2012, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 40, 'contribution_to_risk': 1.1138}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 0.0, 'contribution_to_risk': -0.389}, {'feature': 'threshold_proximity_pct', 'value': 0.07, 'contribution_to_risk': -0.3631}]}",14.9
58577,58578,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18074/2024-2025/137033,KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA),KALI CHARAN MUNDA,KHUNTI(ST),2024-11-26,ASSISTANT ENGINEER ZILA PARISHAD KHUNTI,Payment Success,400000,400000.0,1.83,40,19920000.0,0.0,147000000.0,0.27210884353741494,2024-11,39,"{'Work ID': 'WS/MP18074/2024-2025/137033', 'risk_score': 21.6, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 400000.0, 'threshold_proximity_pct': 1.83, 'vendor_30d_frequency': 40, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.27, 'ida_monthly_txns': 39}, 'raw_anomaly_score': 0.1736, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 40, 'contribution_to_risk': 1.1972}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 0.0, 'contribution_to_risk': -0.3743}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.27210884353741494, 'contribution_to_risk': 0.1804}]}",21.6
58826,58827,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/142729,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-11-28,SARPANCH GRAM PANCHAYAT TUSMA,Payment Success,299989,299989.0,0.03,2,499989.0,99.96,150384382.11,0.19948148590361617,2024-11,5,"{'Work ID': 'WS/MP18278/2024-2025/142729', 'risk_score': 51.8, 'risk_level': 'MEDIUM_RISK', 'is_anomaly': False, 'metrics': {'amount': 299989.0, 'threshold_proximity_pct': 0.03, 'vendor_30d_frequency': 2, 'cumulative_vendor_spend_vs_threshold_pct': 99.96, 'budget_impact_pct': 0.2, 'ida_monthly_txns': 5}, 'raw_anomaly_score': 0.0504, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 99.96, 'contribution_to_risk': 5.8101}, {'feature': 'vendor_payout_velocity', 'value': 2, 'contribution_to_risk': -0.3491}, {'feature': 'ida_monthly_txns', 'value': 5, 'contribution_to_risk': -0.2708}]}",51.8
58857,58858,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/135256,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-11-28,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,187910,187910.0,0.0,17,3341440.0,0.13,147000000.0,0.1278299319727891,2024-11,8,"{'Work ID': 'WS/MP18153/2024-2025/135256', 'risk_score': 5.0, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 187910.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 17, 'cumulative_vendor_spend_vs_threshold_pct': 0.13, 'budget_impact_pct': 0.13, 'ida_monthly_txns': 8}, 'raw_anomaly_score': 0.2415, 'top_contributing_features': [{'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4649}, {'feature': 'ida_monthly_txns', 'value': 8, 'contribution_to_risk': -0.3511}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.1278299319727891, 'contribution_to_risk': -0.3321}]}",5.0
58856,58857,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/137288,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-11-28,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,188005,188005.0,0.0,17,3341440.0,0.13,147000000.0,0.12789455782312925,2024-11,8,"{'Work ID': 'WS/MP18153/2024-2025/137288', 'risk_score': 5.0, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 188005.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 17, 'cumulative_vendor_spend_vs_threshold_pct': 0.13, 'budget_impact_pct': 0.13, 'ida_monthly_txns': 8}, 'raw_anomaly_score': 0.2415, 'top_contributing_features': [{'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4649}, {'feature': 'ida_monthly_txns', 'value': 8, 'contribution_to_risk': -0.3511}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.12789455782312925, 'contribution_to_risk': -0.3321}]}",5.0
58859,58860,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/135263,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-11-28,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,187435,187435.0,0.0,17,3341440.0,0.13,147000000.0,0.12750680272108844,2024-11,8,"{'Work ID': 'WS/MP18153/2024-2025/135263', 'risk_score': 5.2, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 187435.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 17, 'cumulative_vendor_spend_vs_threshold_pct': 0.13, 'budget_impact_pct': 0.13, 'ida_monthly_txns': 8}, 'raw_anomaly_score': 0.2407, 'top_contributing_features': [{'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4642}, {'feature': 'ida_monthly_txns', 'value': 8, 'contribution_to_risk': -0.3489}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.12750680272108844, 'contribution_to_risk': -0.3321}]}",5.2
58972,58973,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/137691,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-11-28,GRAM PANCHAYAT JUDAGA,Payment Success,600000,600000.0,0.0,2,1000000.0,0.0,150384382.11,0.39897760098593527,2024-11,4,"{'Work ID': 'WS/MP18278/2024-2025/137691', 'risk_score': 9.8, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 600000.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 2, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.4, 'ida_monthly_txns': 4}, 'raw_anomaly_score': 0.2217, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 2, 'contribution_to_risk': -0.4725}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.39897760098593527, 'contribution_to_risk': 0.4322}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4133}]}",9.8
58858,58859,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/137292,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-11-28,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,188100,188100.0,0.0,17,3341440.0,0.13,147000000.0,0.1279591836734694,2024-11,8,"{'Work ID': 'WS/MP18153/2024-2025/137292', 'risk_score': 5.0, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 188100.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 17, 'cumulative_vendor_spend_vs_threshold_pct': 0.13, 'budget_impact_pct': 0.13, 'ida_monthly_txns': 8}, 'raw_anomaly_score': 0.2415, 'top_contributing_features': [{'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4649}, {'feature': 'ida_monthly_txns', 'value': 8, 'contribution_to_risk': -0.351}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.1279591836734694, 'contribution_to_risk': -0.3321}]}",5.0
58853,58854,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/137289,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-12-05,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,197700,197700.0,0.0,22,4291490.0,5.88,147000000.0,0.13448979591836735,2024-12,29,"{'Work ID': 'WS/MP18153/2024-2025/137289', 'risk_score': 14.9, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 197700.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 22, 'cumulative_vendor_spend_vs_threshold_pct': 5.88, 'budget_impact_pct': 0.13, 'ida_monthly_txns': 29}, 'raw_anomaly_score': 0.2011, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 5.88, 'contribution_to_risk': 1.1329}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4295}, {'feature': 'ida_monthly_txns', 'value': 29, 'contribution_to_risk': -0.3726}]}",14.9
58854,58855,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/137285,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-12-05,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,178290,178290.0,0.0,22,4291490.0,5.88,147000000.0,0.12128571428571429,2024-12,29,"{'Work ID': 'WS/MP18153/2024-2025/137285', 'risk_score': 15.2, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 178290.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 22, 'cumulative_vendor_spend_vs_threshold_pct': 5.88, 'budget_impact_pct': 0.12, 'ida_monthly_txns': 29}, 'raw_anomaly_score': 0.1999, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 5.88, 'contribution_to_risk': 1.1367}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4315}, {'feature': 'ida_monthly_txns', 'value': 29, 'contribution_to_risk': -0.3692}]}",15.2
58855,58856,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/137283,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-12-05,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,178020,178020.0,0.0,22,4291490.0,5.88,147000000.0,0.12110204081632653,2024-12,29,"{'Work ID': 'WS/MP18153/2024-2025/137283', 'risk_score': 15.2, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 178020.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 22, 'cumulative_vendor_spend_vs_threshold_pct': 5.88, 'budget_impact_pct': 0.12, 'ida_monthly_txns': 29}, 'raw_anomaly_score': 0.1999, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 5.88, 'contribution_to_risk': 1.1367}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4315}, {'feature': 'ida_monthly_txns', 'value': 29, 'contribution_to_risk': -0.3695}]}",15.2
58851,58852,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/135259,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-12-05,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,198000,198000.0,0.0,22,4291490.0,5.88,147000000.0,0.1346938775510204,2024-12,29,"{'Work ID': 'WS/MP18153/2024-2025/135259', 'risk_score': 14.8, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 198000.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 22, 'cumulative_vendor_spend_vs_threshold_pct': 5.88, 'budget_impact_pct': 0.13, 'ida_monthly_txns': 29}, 'raw_anomaly_score': 0.2012, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 5.88, 'contribution_to_risk': 1.1412}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4294}, {'feature': 'ida_monthly_txns', 'value': 29, 'contribution_to_risk': -0.3724}]}",14.8
58852,58853,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/135262,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-12-05,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,198040,198040.0,0.0,22,4291490.0,5.88,147000000.0,0.13472108843537414,2024-12,29,"{'Work ID': 'WS/MP18153/2024-2025/135262', 'risk_score': 14.9, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 198040.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 22, 'cumulative_vendor_spend_vs_threshold_pct': 5.88, 'budget_impact_pct': 0.13, 'ida_monthly_txns': 29}, 'raw_anomaly_score': 0.2012, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 5.88, 'contribution_to_risk': 1.1412}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4293}, {'feature': 'ida_monthly_txns', 'value': 29, 'contribution_to_risk': -0.3724}]}",14.9
58508,58509,Chhattisgarh,Street lights,WS/MP18278/2024-2025/142728,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-12-09,SARPANCH GRAM PANCHAYAT SENDURAS,Payment Success,520000,520000.0,0.0,1,520000.0,0.0,150384382.11,0.3457805875211438,2024-12,3,"{'Work ID': 'WS/MP18278/2024-2025/142728', 'risk_score': 7.6, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 520000.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.35, 'ida_monthly_txns': 3}, 'raw_anomaly_score': 0.231, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.5087}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4204}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 0.0, 'contribution_to_risk': -0.3772}]}",7.6
58729,58730,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/145245,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-12-13,GRAM PANCHAYAT DHANGAO,Payment Success,600000,600000.0,0.0,4,1800000.0,0.0,150384382.11,0.39897760098593527,2024-12,3,"{'Work ID': 'WS/MP18278/2024-2025/145245', 'risk_score': 10.9, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 600000.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 4, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.4, 'ida_monthly_txns': 3}, 'raw_anomaly_score': 0.2174, 'top_contributing_features': [{'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4172}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.39897760098593527, 'contribution_to_risk': 0.4135}, {'feature': 'expenditure_amount', 'value': 600000.0, 'contribution_to_risk': 0.4117}]}",10.9
58730,58731,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/145247,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-12-13,GRAM PANCHAYAT DHANGAO,Payment Success,480000,480000.0,44.93,4,1800000.0,0.0,150384382.11,0.3191820807887482,2024-12,3,"{'Work ID': 'WS/MP18278/2024-2025/145247', 'risk_score': 33.1, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 480000.0, 'threshold_proximity_pct': 44.93, 'vendor_30d_frequency': 4, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.32, 'ida_monthly_txns': 3}, 'raw_anomaly_score': 0.1267, 'top_contributing_features': [{'feature': 'threshold_proximity_pct', 'value': 44.93, 'contribution_to_risk': 3.1695}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 0.0, 'contribution_to_risk': -0.3348}, {'feature': 'vendor_payout_velocity', 'value': 4, 'contribution_to_risk': -0.3026}]}",33.1
58734,58735,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/145246,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-12-13,GRAM PANCHAYAT PANGAO,Payment Success,360000,360000.0,0.37,2,600000.0,0.0,150384382.11,0.23938656059156113,2024-12,3,"{'Work ID': 'WS/MP18278/2024-2025/145246', 'risk_score': 4.3, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 360000.0, 'threshold_proximity_pct': 0.37, 'vendor_30d_frequency': 2, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.24, 'ida_monthly_txns': 3}, 'raw_anomaly_score': 0.2442, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 2, 'contribution_to_risk': -0.4795}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 0.0, 'contribution_to_risk': -0.4018}, {'feature': 'threshold_proximity_pct', 'value': 0.37, 'contribution_to_risk': -0.3414}]}",4.3
58502,58503,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/134629,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-12-17,sarpanch gram panchayat arsiya,Payment Success,600000,600000.0,0.0,2,1000000.0,0.0,150384382.11,0.39897760098593527,2024-12,3,"{'Work ID': 'WS/MP18278/2024-2025/134629', 'risk_score': 10.0, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 600000.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 2, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.4, 'ida_monthly_txns': 3}, 'raw_anomaly_score': 0.2209, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 2, 'contribution_to_risk': -0.4665}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.39897760098593527, 'contribution_to_risk': 0.4265}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4134}]}",10.0
58877,58878,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/135256,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-12-18,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,44505,44505.0,11.1,27,4523941.0,14.89,147000000.0,0.030275510204081632,2024-12,29,"{'Work ID': 'WS/MP18153/2024-2025/135256', 'risk_score': 32.3, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 44505.0, 'threshold_proximity_pct': 11.1, 'vendor_30d_frequency': 27, 'cumulative_vendor_spend_vs_threshold_pct': 14.89, 'budget_impact_pct': 0.03, 'ida_monthly_txns': 29}, 'raw_anomaly_score': 0.1298, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 14.89, 'contribution_to_risk': 1.818}, {'feature': 'threshold_proximity_pct', 'value': 11.1, 'contribution_to_risk': 1.0204}, {'feature': 'vendor_payout_velocity', 'value': 27, 'contribution_to_risk': 0.4822}]}",32.3
58876,58877,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/137292,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-12-18,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,44550,44550.0,11.3,27,4523941.0,14.89,147000000.0,0.03030612244897959,2024-12,29,"{'Work ID': 'WS/MP18153/2024-2025/137292', 'risk_score': 32.6, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 44550.0, 'threshold_proximity_pct': 11.3, 'vendor_30d_frequency': 27, 'cumulative_vendor_spend_vs_threshold_pct': 14.89, 'budget_impact_pct': 0.03, 'ida_monthly_txns': 29}, 'raw_anomaly_score': 0.1287, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 14.89, 'contribution_to_risk': 1.8193}, {'feature': 'threshold_proximity_pct', 'value': 11.3, 'contribution_to_risk': 1.0511}, {'feature': 'vendor_payout_velocity', 'value': 27, 'contribution_to_risk': 0.4827}]}",32.6
58875,58876,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/137293,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-12-18,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,44392,44392.0,10.61,27,4523941.0,14.89,147000000.0,0.03019863945578231,2024-12,29,"{'Work ID': 'WS/MP18153/2024-2025/137293', 'risk_score': 32.2, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 44392.0, 'threshold_proximity_pct': 10.61, 'vendor_30d_frequency': 27, 'cumulative_vendor_spend_vs_threshold_pct': 14.89, 'budget_impact_pct': 0.03, 'ida_monthly_txns': 29}, 'raw_anomaly_score': 0.1305, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 14.89, 'contribution_to_risk': 1.8447}, {'feature': 'threshold_proximity_pct', 'value': 10.61, 'contribution_to_risk': 0.9707}, {'feature': 'vendor_payout_velocity', 'value': 27, 'contribution_to_risk': 0.4766}]}",32.2
58874,58875,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/137288,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-12-18,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,44527,44527.0,11.2,27,4523941.0,14.89,147000000.0,0.030290476190476187,2024-12,29,"{'Work ID': 'WS/MP18153/2024-2025/137288', 'risk_score': 32.3, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 44527.0, 'threshold_proximity_pct': 11.2, 'vendor_30d_frequency': 27, 'cumulative_vendor_spend_vs_threshold_pct': 14.89, 'budget_impact_pct': 0.03, 'ida_monthly_txns': 29}, 'raw_anomaly_score': 0.1298, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 14.89, 'contribution_to_risk': 1.818}, {'feature': 'threshold_proximity_pct', 'value': 11.2, 'contribution_to_risk': 1.0204}, {'feature': 'vendor_payout_velocity', 'value': 27, 'contribution_to_risk': 0.4822}]}",32.3
58873,58874,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/137285,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-12-18,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,54477,54477.0,0.0,27,4523941.0,14.89,147000000.0,0.03705918367346939,2024-12,29,"{'Work ID': 'WS/MP18153/2024-2025/137285', 'risk_score': 22.1, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 54477.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 27, 'cumulative_vendor_spend_vs_threshold_pct': 14.89, 'budget_impact_pct': 0.04, 'ida_monthly_txns': 29}, 'raw_anomaly_score': 0.1716, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 14.89, 'contribution_to_risk': 1.9547}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.4125}, {'feature': 'vendor_payout_velocity', 'value': 27, 'contribution_to_risk': 0.4099}]}",22.1
58895,58896,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/137289,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-12-19,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,34597,34597.0,0.21,46,5729653.0,0.0,147000000.0,0.023535374149659862,2024-12,29,"{'Work ID': 'WS/MP18153/2024-2025/137289', 'risk_score': 12.6, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 34597.0, 'threshold_proximity_pct': 0.21, 'vendor_30d_frequency': 46, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.02, 'ida_monthly_txns': 29}, 'raw_anomaly_score': 0.2103, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 46, 'contribution_to_risk': 1.18}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 0.0, 'contribution_to_risk': -0.3854}, {'feature': 'ida_monthly_txns', 'value': 29, 'contribution_to_risk': -0.3326}]}",12.6
58880,58881,Punjab,Installing community drinking water plants,WS/MP18153/2024-2025/135260,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,FIROZPUR,2024-12-19,The Gill Sehkari Kirat te Ussari Sabha Ltd,Payment Success,34615,34615.0,0.21,46,5729653.0,0.0,147000000.0,0.023547619047619046,2024-12,29,"{'Work ID': 'WS/MP18153/2024-2025/135260', 'risk_score': 12.6, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 34615.0, 'threshold_proximity_pct': 0.21, 'vendor_30d_frequency': 46, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.02, 'ida_monthly_txns': 29}, 'raw_anomaly_score': 0.2103, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 46, 'contribution_to_risk': 1.18}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 0.0, 'contribution_to_risk': -0.3854}, {'feature': 'ida_monthly_txns', 'value': 29, 'contribution_to_risk': -0.3326}]}",12.6
