"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"32389","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP598/2025-2026/200412","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","27-Oct-2025","GP Kelvi","Payment Success","100000"
"32390","Himachal Pradesh","Lighting of public spaces","WS/MP598/2025-2026/199452","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","02-Sep-2025","GP Kelvi","Payment Success","120000"
"32391","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/257552","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","27-Mar-2026","Executive Engineer Rural Development Department","Payment Success","300000"
"32392","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/216613","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","26-Dec-2025","Gram Panchayat Jamli","Payment Success","75000"
"32393","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/188698","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","24-Jul-2025","Chattha Transport","Payment Success","29925"
"32394","Tamil Nadu","Lighting of public spaces","WS/MP393/2025-2026/164310","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","24-Jul-2025","KAARTHIKEYAN S","Payment Success","488441"
"32395","Tamil Nadu","Construction of public irrigation facilities","WS/MP393/2025-2026/220658","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","19-Jan-2026","KAARTHIKEYAN S","Payment Success","500000"
"32396","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/231948","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","22-Jul-2026","GRAM PANCHAYAT","Payment Success","30000"
"32397","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/231948","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","08-Dec-2025","GRAM PANCHAYAT","Payment Success","45000"
"32398","Assam","Construction of community centers and community halls","WS/MP18021/2025-2026/181472","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","14-Jul-2026","Construction of Community Hall at Gournagar Junior College","Payment Success","200000"
"32399","Assam","Construction of community centers and community halls","WS/MP18021/2025-2026/181472","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","23-Jul-2025","Construction of Community Hall at Gournagar Junior College","Payment Success","300000"
"32400","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/188698","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","24-Jul-2025","Sahil Precast","Payment Success","42000"
"32401","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/188698","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","24-Jul-2025","Sahil Precast","Payment Success","42000"
"32402","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/188698","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","24-Jul-2025","Sahil Precast","Payment Success","31500"
"32403","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/188698","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","30-Oct-2025","Sahil Precast","Payment Success","7350"
"32404","Assam","Construction of community centers and community halls","WS/MP18023/2025-2026/188065","GOALPARA(Deputy Commissioner Goalpara_IDA)","BIJULI KALITA MEDHI","GUWAHATI","23-Jul-2025","Construction of Community Hall at Sarapara Village Bardamal","Payment Success","600000"
"32405","Assam","Construction of community centers and community halls","WS/MP18023/2025-2026/188065","GOALPARA(Deputy Commissioner Goalpara_IDA)","BIJULI KALITA MEDHI","GUWAHATI","29-Nov-2025","Construction of Community Hall at Sarapara Village Bardamal","Payment Success","400000"
"32406","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/239377","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","06-Nov-2025","Gram Panchayat Samaila","Payment Success","70000"
"32407","Himachal Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP432/2025-2026/216617","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","22-Jul-2026","Gram Panchayat Samaila","Payment Success","30000"
"32408","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/216626","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","22-Jul-2026","Gram Panchayat Samaila","Payment Success","25000"
"32409","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/216626","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","20-Nov-2025","Gram Panchayat Samaila","Payment Success","50000"
"32410","Himachal Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP432/2025-2026/216617","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","20-Nov-2025","Gram Panchayat Samaila","Payment Success","120000"
"32411","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/216612","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","26-Feb-2026","GP SATHWIN","Payment Success","80000"
"32412","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/216618","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","02-Jan-2026","GRAM PANCHYAT SAUR","Payment Success","75000"
"32413","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/239376","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","18-Dec-2025","Gram Panchayat Sohari","Payment Success","80000"
"32414","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/216625","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","23-Apr-2026","Gram Panchayat Sohari","Payment Success","30000"
"32415","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/216625","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","15-Sep-2025","Gram Panchayat Sohari","Payment Success","120000"
"32416","Himachal Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP432/2025-2026/216624","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","25-Nov-2025","Gram Panchayat Usnar Kalan","Payment Success","100000"
"32417","Himachal Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP432/2025-2026/216624","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","04-Apr-2026","Gram Panchayat Usnar Kalan","Payment Success","50000"
"32418","Tamil Nadu","Construction of community centers and community halls","WS/MP18265/2025-2026/155927","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","04-Aug-2025","MGNRGS Convergence Account","Payment Success","296647"
"32419","Tamil Nadu","Construction of community centers and community halls","WS/MP18265/2025-2026/155928","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","17-Nov-2025","MGNRGS Convergence Account","Payment Success","298738"
"32420","Tamil Nadu","Construction of community centers and community halls","WS/MP18265/2025-2026/155926","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","26-Sep-2025","MGNRGS Convergence Account","Payment Success","300000"
"32421","Assam","Construction of rooms and halls in school and colleges","WS/MP18021/2025-2026/143257","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","23-Jul-2025","Construction of Classroom at Goalpara Girls College Goalpara","Payment Success","300000"
"32422","Assam","Construction of community centers and community halls","WS/MP18021/2025-2026/143259","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","23-Jul-2025","Construction of Community Hall at Krishnai Weekly Market","Payment Success","300000"
"32423","Assam","Construction of community centers and community halls","WS/MP18021/2025-2026/143259","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","11-Mar-2026","Construction of Community Hall at Krishnai Weekly Market","Payment Success","200000"
"32424","Assam","Construction of additional rooms and halls in the existing public and community building","WS/MP18023/2025-2026/154156","GOALPARA(Deputy Commissioner Goalpara_IDA)","BIJULI KALITA MEDHI","GUWAHATI","23-Jul-2025","Construction of Additional Room in existing community hall at Kurung Dodan Lakhipur","Payment Success","150000"
"32425","Assam","Construction of additional rooms and halls in the existing public and community building","WS/MP18023/2025-2026/154156","GOALPARA(Deputy Commissioner Goalpara_IDA)","BIJULI KALITA MEDHI","GUWAHATI","28-Nov-2025","Construction of Additional Room in existing community hall at Kurung Dodan Lakhipur","Payment Success","100000"
"32426","Odisha","Construction of rooms and halls in school and colleges","WS/MP18143/2025-2026/198551","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","25-May-2026","BANDANA TANTY","Payment Success","490000"
"32427","Odisha","Construction of community centers and community halls","WS/MP18143/2025-2026/178856","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","09-Jan-2026","BANDANA TANTY","Payment Success","179592"
"32428","Odisha","Retrofitting in essential lifeline buildings","WS/MP18143/2025-2026/198659","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","14-May-2026","PARAMESWAR SAHOO","Payment Success","227468"
"32429","Odisha","Retrofitting in essential lifeline buildings","WS/MP18143/2025-2026/198659","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","29-Jun-2026","PARAMESWAR SAHOO","Payment Success","72532"
"32430","Odisha","Construction of community centers and community halls","WS/MP18143/2025-2026/217242","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","09-Feb-2026","SUNARAM MARANDI","Payment Success","351000"
"32431","Odisha","Construction of community centers and community halls","WS/MP18143/2025-2026/178721","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","25-Nov-2025","SASMITA NAYAK","Payment Success","300000"
"32432","Odisha","Construction of community centers and community halls","WS/MP18143/2025-2026/178712","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","24-Nov-2025","SASMITA NAYAK","Payment Success","200000"
"32433","Odisha","Construction of community centers and community halls","WS/MP18143/2025-2026/201308","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","26-Dec-2025","SASMITA NAYAK","Payment Success","300000"
"32434","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18323/2025-2026/168685","LATUR(DISTRICT COLLECTOR LATUR_IDA)","DR KALGE SHIVAJI BANDAPPA","LATUR(SC)","11-Aug-2025","PRATIK AJIT REDDY","Payment Success","963776"
"32435","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18323/2025-2026/168679","LATUR(DISTRICT COLLECTOR LATUR_IDA)","DR KALGE SHIVAJI BANDAPPA","LATUR(SC)","11-Aug-2025","PRATIK AJIT REDDY","Payment Success","677260"
"32436","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18058/2024-2025/172001","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","01-Aug-2025","ADALWADA GRAM PANCHAYAT","Payment Success","250000"
"32437","West Bengal","Construction of footpaths and pedestrian ways","WS/MP499/2024-2025/160909","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Smt Satabdi Roy (Banerjee)","BIRBHUM","24-Jul-2025","RAJ KUMAR MONDAL","Payment Success","393385"
"32438","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/159462","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","25-Jul-2025","VIVEKANAND REDDY KOTHAKAPU","Payment Success","118557"
"32439","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/159456","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","25-Jul-2025","VIVEKANAND REDDY KOTHAKAPU","Payment Success","125000"
"32440","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/159422","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","25-Jul-2025","VIVEKANAND REDDY KOTHAKAPU","Payment Success","125000"
"32441","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/159458","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","25-Jul-2025","S NAWAJ REDDY","Payment Success","125000"
"32442","Gujarat","Providing sports equipment, except consumable items","WS/MP585/2025-2026/179502","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Hasmukh Bhai Soma Bhai Patel","AHMEDABAD EAST","10-Mar-2026","KRISHNA TRADERS","Payment Success","193220"
"32443","Tamil Nadu","Construction of community centers and community halls","WS/MP18265/2025-2026/155930","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","30-Sep-2025","ANANDHI RAJASEKARAN","Payment Success","354301"
"32444","Tamil Nadu","Construction of community centers and community halls","WS/MP18265/2025-2026/155930","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","26-Jul-2025","ANANDHI RAJASEKARAN","Payment Success","545249"
"32445","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/195663","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","23-Apr-2026","Gram Panchayat Paikpal","Payment Success","175000"
"32446","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/197163","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","23-Apr-2026","Gram Panchayat Jharumargaon","Payment Success","175000"
"32447","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP18048/2026-2027/276259","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","31-Jul-2026","Gram Panchayat Jharumargaon","Payment Success","150000"
"32448","Haryana","Improvement of electricity distribution infrastructure","WS/MP18062/2025-2026/196327","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","JAI PARKASH","HISAR","29-Jul-2025","SDO S U S D No 2 Bhiwani","Payment Success","93120"
"32449","Haryana","Improvement of electricity distribution infrastructure","WS/MP329/2025-2026/177502","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","05-Sep-2025","SDO S U S D No 2 Bhiwani","Payment Success","486370"
"32450","Haryana","Improvement of electricity distribution infrastructure","WS/MP329/2025-2026/221622","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","21-Aug-2025","SDO S U S D No 2 Bhiwani","Payment Success","186000"
"32451","Haryana","Improvement of electricity distribution infrastructure","WS/MP329/2025-2026/254153","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","02-Feb-2026","SDO S U S D No 2 Bhiwani","Payment Success","61000"
"32452","Haryana","Improvement of electricity distribution infrastructure","WS/MP329/2025-2026/254158","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","02-Feb-2026","SDO S U S D No 2 Bhiwani","Payment Success","31000"
"32453","Andhra Pradesh","Construction of community centers and community halls","WS/MP18003/2024-2025/157521","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","28-Jul-2025","KUMMATHI NARAYANA REDDY","Payment Success","481796"
"32454","Andhra Pradesh","Establishing public lift irrigation projects","WS/MP526/2026-2027/258599","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","09-Jul-2026","A GURIVI REDDY","Payment Success","399023"
"32455","Andhra Pradesh","Establishing public ground water recharging facilities","WS/MP526/2025-2026/166438","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","31-Jul-2025","A GURIVI REDDY","Payment Success","500000"
"32456","Andhra Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP526/2024-2025/143789","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","31-Jul-2025","G VENU GOPAL","Payment Success","478000"
"32457","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP598/2025-2026/196032","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","13-Aug-2025","Gram Panchatyat Ghanahatti","Payment Success","150000"
"32458","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP598/2025-2026/196032","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","31-Mar-2026","Gram Panchatyat Ghanahatti","Payment Success","150000"
"32459","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP746/2025-2026/177720","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Kani K Navas","RAMANATHAPURAM","30-Jul-2025","NISATHKHAN H","Payment Success","449473"
"32460","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP746/2025-2026/232912","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Kani K Navas","RAMANATHAPURAM","10-Jun-2026","NISATHKHAN H","Payment Success","299413"
"32461","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP005/2025-2026/174817","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","04-Aug-2025","HALDHARVAS GRAM PANCHAYAT","Payment Success","98344"
"32462","West Bengal","Construction of public irrigation facilities","WS/MP18251/2025-2026/197758","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","SAYANI GHOSH","JADAVPUR","24-Jul-2025","LUCKY CONSTRUCTION","Payment Success","500000"
"32463","Karnataka","Construction of buildings for community cultural activities","WS/	 MP620/2024-2025/133307","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","30-Oct-2025","Shivanagouda Janagoudra","Payment Success","398955"
"32464","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/138108","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","02-Aug-2025","Shiwali kumari","Payment Success","3276"
"32465","West Bengal","Construction of foot over bridge (FOB)","WS/MP826/2024-2025/135546","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","DARJEELING","05-Aug-2025","NORDEN LEPCHA","Payment Success","483907"
"32466","West Bengal","Construction of footpaths and pedestrian ways","WS/MP826/2024-2025/135526","KALIMPONG(District Magistrate Kalimpong_IDA)","Raju Bista","DARJEELING","10-Nov-2025","NORDEN LEPCHA","Payment Success","290291"
"32467","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/183388","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","07-Aug-2025","S M CONSTRUCTION","Payment Success","163700"
"32468","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP859/2024-2025/174977","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Kalyan Banerjee","SREERAMPUR","24-Jul-2025","VISHAL JAISWAL","Payment Success","496627"
"32469","Meghalaya","Construction of buildings for community cultural activities","WS/MP18137/2025-2026/161409","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","ANDREW J. SYNGKON","SHILLONG","27-Jan-2026","Seinraij Shnong Sabahmuswang","Payment Success","100000"
"32470","Tamil Nadu","Construction of community centers and community halls","WS/MP458/2025-2026/180092","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","22-Sep-2025","FATHIMA CONSTRUCTIONS","Payment Success","1814147"
"32471","Tamil Nadu","Construction of community centers and community halls","WS/MP458/2025-2026/180092","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","25-Jul-2025","FATHIMA CONSTRUCTIONS","Payment Success","2184528"
"32472","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18029/2025-2026/205091","SONITPUR(Deputy Commissioner Sonitpur, Tezpur)","RANJIT DUTTA","Sonitpur","31-Jul-2025","RANJIT CHOUDHURY","Payment Success","300965"
"32473","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18029/2025-2026/205091","SONITPUR(Deputy Commissioner Sonitpur, Tezpur)","RANJIT DUTTA","Sonitpur","24-Sep-2025","RANJIT CHOUDHURY","Payment Success","697242"
"32474","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP18351/2024-2025/158125","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","24-Jul-2025","ESWARA RAO KADAMA","Payment Success","482960"
"32475","West Bengal","Street lights","WS/MP485/2025-2026/197272","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","13-Aug-2025","Promita Construction","Payment Success","349999"
"32476","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP743/2025-2026/142802","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","08-Aug-2025","SATHYA ASSOCIATE","Payment Success","898541"
"32477","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/161417","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","ANDREW J. SYNGKON","SHILLONG","13-Oct-2025","Albin Lamare Memorial Secondary School Nangbah","Payment Success","200000"
"32478","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/161417","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","ANDREW J. SYNGKON","SHILLONG","25-Jul-2025","Albin Lamare Memorial Secondary School Nangbah","Payment Success","200000"
"32479","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18186/2025-2026/167713","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","29-Jul-2025","THEJAS TRADERS","Payment Success","499738"
"32480","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP18176/2024-2025/139742","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","14-Nov-2025","JAYAPRAKASH R","Payment Success","757764"
"32481","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP18176/2024-2025/139742","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","28-Jul-2025","JAYAPRAKASH R","Payment Success","891162"
"32482","Assam","Construction of rooms and halls in school and colleges","WS/MP18021/2025-2026/181469","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","30-Jul-2025","Construction of Boundary Wall near Darul Ulam Taritul Koran Hafizi Madrassa near Simlabari Bazar","Payment Success","300000"
"32483","Assam","Construction of rooms and halls in school and colleges","WS/MP18021/2025-2026/181469","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","30-Jul-2026","Construction of Boundary Wall near Darul Ulam Taritul Koran Hafizi Madrassa near Simlabari Bazar","Payment Success","200000"
"32484","West Bengal","Construction of community centers and community halls","WS/MP18277/2024-2025/150715","PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA)","AZAD KIRTI JHA","BARDHAMAN-DURGAPUR","20-Nov-2025","K J SUPPLIERS","Payment Success","901693"
"32485","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18277/2024-2025/150712","PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA)","AZAD KIRTI JHA","BARDHAMAN-DURGAPUR","24-Jul-2025","K J SUPPLIERS","Payment Success","599034"
"32486","West Bengal","Lighting of public spaces","WS/MP827/2025-2026/214129","PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA)","Shatrughan Sinha","ASANSOL","06-Feb-2026","K J SUPPLIERS","Payment Success","963102"
"32487","West Bengal","Construction of community centers and community halls","WS/MP18277/2024-2025/150715","PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA)","AZAD KIRTI JHA","BARDHAMAN-DURGAPUR","06-Feb-2026","K J SUPPLIERS","Payment Success","594113"
