"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"6849","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275135","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","20-May-2026","Gram Panchayat Kumhar Daniya","Payment Success","250000"
"6850","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2026-2027/240893","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","04-May-2026","BLOCK DEVELOPMENT OFFICER","Payment Success","20104"
"6851","Delhi","Lighting of public spaces","WS/MP18399/2025-2026/215513","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","02-May-2026","AAKANKSHA SINGH","Payment Success","696725"
"6852","Delhi","Lighting of public spaces","WS/MP18399/2025-2026/215512","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","02-May-2026","AAKANKSHA SINGH","Payment Success","704321"
"6853","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189799","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","791870"
"6854","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189797","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","186225"
"6855","Delhi","Providing sports equipment, except consumable items","WS/MP18397/2025-2026/185217","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","690758"
"6856","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189798","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318304"
"6857","Delhi","Development of public parks","WS/MP18395/2025-2026/182657","NORTH WEST(COMMISSIONER NORTH WEST)","Praveen Khandelwal","CHANDINI CHOWK","19-May-2026","Swing Craft","Payment Success","304849"
"6858","Delhi","Providing sports equipment, except consumable items","WS/MP18395/2025-2026/186424","NORTH(COMMISSIONER MCD NORTH_IDA)","Praveen Khandelwal","CHANDINI CHOWK","19-May-2026","Swing Craft","Payment Success","666471"
"6859","Delhi","Development of public parks","WS/MP18395/2025-2026/182658","NORTH(COMMISSIONER MCD NORTH_IDA)","Praveen Khandelwal","CHANDINI CHOWK","19-May-2026","Swing Craft","Payment Success","304850"
"6860","Delhi","Providing sports equipment, except consumable items","WS/MP18395/2025-2026/186425","NORTH(COMMISSIONER MCD NORTH_IDA)","Praveen Khandelwal","CHANDINI CHOWK","19-May-2026","Swing Craft","Payment Success","666470"
"6861","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189805","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
