Work ID (Completed),Work ID (Recommended),Work Description,Category,MP Name,State,Constituency,IDA,House,Recommended Amount (₹),Final Settled Amount (₹),Cost Escalation Delta (₹),Cost Escalation Ratio,Cost Escalation (%),Recommendation Date,Completed Date,Execution Duration (Days),Has Images (Completed),Has Images (Recommended),Average Rating
194352,140604,CONSTRUCTION OF CC ROAD,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,400000,450000,50000,1.125,12.5,2024-09-13T00:00:00.000Z,2026-02-21T00:00:00.000Z,526,TRUE,FALSE,
155421,140606,construction of cc road,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,150000,500000,350000,3.3333,233.33,2024-09-13T00:00:00.000Z,2026-08-04T00:00:00.000Z,690,TRUE,FALSE,
244921,194346,construction of cc road,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,150000,250000,100000,1.6667,66.67,2025-04-25T00:00:00.000Z,2026-08-04T00:00:00.000Z,466,TRUE,FALSE,
145730,225540,CONSTRUCTION OF ROOM,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,150000,150000,0,1,0,2025-08-06T00:00:00.000Z,2026-01-23T00:00:00.000Z,170,TRUE,FALSE,
210797,156433,CONSTRUCTION OF SHED,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,400000,400000,0,1,0,2024-12-02T00:00:00.000Z,2026-05-11T00:00:00.000Z,525,FALSE,FALSE,
137831,233299,PURCHASE OF BOOK,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2025-08-21T00:00:00.000Z,-22,TRUE,FALSE,
137832,233300,PURCHASE OF BOOK,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2025-08-21T00:00:00.000Z,-22,TRUE,FALSE,
137829,233301,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2025-08-21T00:00:00.000Z,-22,TRUE,FALSE,
137836,233302,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2025-08-21T00:00:00.000Z,-22,TRUE,FALSE,
137837,233303,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2025-08-21T00:00:00.000Z,-22,TRUE,FALSE,
137838,233304,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2025-08-21T00:00:00.000Z,-22,TRUE,FALSE,
137839,233305,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2025-08-21T00:00:00.000Z,-22,TRUE,FALSE,
137840,233306,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2025-08-21T00:00:00.000Z,-22,TRUE,FALSE,
137841,233307,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2025-08-21T00:00:00.000Z,-22,TRUE,FALSE,
137842,233308,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2025-08-21T00:00:00.000Z,-22,TRUE,FALSE,
137865,233309,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137866,233310,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137867,233311,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137868,233312,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137869,233313,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137870,233314,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137871,233315,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137872,233316,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137873,233317,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137874,233318,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137875,233319,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137876,233320,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137877,233321,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137878,233322,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137879,233323,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
137880,233324,PURCHASE OF BOOKS,Normal/Others,Shri Sudheer Gupta ,Madhya Pradesh,MANDSOUR,NEEMUCH(District Collector Neemuch_IDA),Lok Sabha,100000,100000,0,1,0,2025-09-12T00:00:00.000Z,2026-04-28T00:00:00.000Z,228,TRUE,FALSE,
