work_id,work_description,category,mp_name,constituency,ida,recommended_amount,final_amount,recommendation_date,completed_date,has_images,state,house,work_id_completed,work_id_recommended,has_images_recommended
181146,"Setting up of Low mast light at Chuzhikkayam - Pallithatt, ward No. 17, West Eleri Panchayat",Normal/Others,Shri Abdul Wahab (2021-27),Sitting Rajya Sabha,KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA),210000.0,191552.0,2026-03-06T00:00:00.000Z,2026-05-05T00:00:00.000Z,True,Kerala,Rajya Sabha,181146,272616,False
254173,Construction of Ten Feet RCC Platform Mudra Ghat in Surya Mandir of Kujapi Village in Gaya Town of Belaganj Vidhansabha,Normal/Others,ABHAY KUMAR SINHA,AURANGABAD,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),1498879.0,1498879.0,2025-12-15T00:00:00.000Z,2026-05-14T00:00:00.000Z,False,Bihar,Lok Sabha,254173,1817,False
173909,Construction of Concrete Road,Normal/Others,ADHIKARI SOUMENDU,KANTHI,Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA),700000.0,1995673.0,2025-02-06T00:00:00.000Z,2026-01-29T00:00:00.000Z,False,West Bengal,Lok Sabha,173909,173914,False
236326,Install 2 set of solar street lights,Normal/Others,ADV GOWAAL KAGADA PADAVI,NANDURBAR,NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA),170000.0,169529.0,2025-09-21T00:00:00.000Z,2026-07-15T00:00:00.000Z,True,Maharashtra,Lok Sabha,236326,236322,False
236327,Install 2 set of solar street lights,Normal/Others,ADV GOWAAL KAGADA PADAVI,NANDURBAR,NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA),170000.0,169529.0,2025-09-21T00:00:00.000Z,2026-07-15T00:00:00.000Z,True,Maharashtra,Lok Sabha,236327,236323,False
236328,Install 2 set of solar street lights,Normal/Others,ADV GOWAAL KAGADA PADAVI,NANDURBAR,NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA),170000.0,169529.0,2025-09-21T00:00:00.000Z,2026-07-15T00:00:00.000Z,True,Maharashtra,Lok Sabha,236328,236324,False
174632,Janpad Nainital antargat gram bacchi Nagar number 2 Mein link Marg se Sardar Mahendra Singh Ke Khet Tak CC marg Nirman kairiy hetu,Normal/Others,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),250000.0,250000.0,2025-02-09T00:00:00.000Z,2025-09-30T00:00:00.000Z,True,Uttarakhand,Lok Sabha,174632,174633,False
162157,Construction of Common Chaupal at Panchayat Land of Sher Garh Village,Normal/Others,Shri Ajay Makan (2024-30),Sitting Rajya Sabha,KAITHAL(DC CUM NODAL OFFICERS MPLADS),1000000.0,990188.0,2024-12-28T00:00:00.000Z,2025-11-10T00:00:00.000Z,False,Karnataka,Rajya Sabha,162157,1007,False
188622,Construction of Pathway (Walking Track) around the village pond at Jaswanti Village.,Normal/Others,Shri Ajay Makan (2024-30),Sitting Rajya Sabha,KAITHAL(DC CUM NODAL OFFICERS MPLADS),500000.0,388919.0,2025-04-01T00:00:00.000Z,2025-12-17T00:00:00.000Z,False,Karnataka,Rajya Sabha,188622,1220,False
146885,Construction of Cultural Hall in Trust area of Shanaishchara Swamy Seva Trust.,Trust and Society,Dr. Ajeet Madhavrao Gopchade (2024-30),Sitting Rajya Sabha,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),2500000.0,2500000.0,2024-10-11T00:00:00.000Z,2026-01-07T00:00:00.000Z,True,Maharashtra,Rajya Sabha,146885,878,True
137953,1.High Mast light Durga mata Mandir ke pass,Normal/Others,AJENDRA SINGH LODHI,HAMIRPUR,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),400000.0,321480.0,2024-09-11T00:00:00.000Z,2026-01-22T00:00:00.000Z,False,Uttar Pradesh,Lok Sabha,137953,137952,False
150426,"Under the Member of Parliament Local Area Development Scheme, an amount of Rs 49 lakh 90 thousand is recommended from my MP fund for the supply and installation of 5 high mast lights (including electricity) in Hathua Nagar Panchayat and Barauli Nagar Parishad of Gopalganj district.",Normal/Others,Alok Kumar Suman,GOPALGANJ,GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA),995000.0,995000.0,2024-11-03T00:00:00.000Z,2026-03-30T00:00:00.000Z,True,Bihar,Lok Sabha,150426,150424,False
195126,Under the Member of Parliament Local Area Development Scheme Rajya Sabha I am providing an amount of 10 lakh for the construction of classrooms at Pandit Sahdev Tiwari Vidya Mandir Village Nagpur Belauli District Sant Kabir Nagar Uttar Pradesh,Normal/Others,Shri Amar Pal Maurya (2024-30),Sitting Rajya Sabha,Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2),999912.0,999912.0,2025-04-28T00:00:00.000Z,2026-02-03T00:00:00.000Z,True,Uttar Pradesh,Rajya Sabha,195126,1276,True
192932,FOR CONSTRUCTION OF SC DHARAMSHALA,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),200000.0,200000.0,2025-04-21T00:00:00.000Z,2026-01-29T00:00:00.000Z,True,Punjab,Lok Sabha,192932,192921,False
225131,FOR CONSTRUCTION OF SHED OF CREMATION GROUND,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),200000.0,150000.0,2025-08-06T00:00:00.000Z,2026-03-06T00:00:00.000Z,True,Punjab,Lok Sabha,225131,225135,False
197033,FOR CONSTRUCTION OF SHED OF STADIUM,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),500000.0,500000.0,2025-05-06T00:00:00.000Z,2026-01-29T00:00:00.000Z,True,Punjab,Lok Sabha,197033,1291,True
199114,FOR FIXED CEMENTED BENCHES,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),150000.0,100000.0,2025-10-21T00:00:00.000Z,2026-04-10T00:00:00.000Z,False,Punjab,Lok Sabha,199114,243210,False
219268,FOR FIXED CEMENTED BENCHES OF COMMON PLACES,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),16665.0,12562.0,2025-07-17T00:00:00.000Z,2026-04-13T00:00:00.000Z,False,Punjab,Lok Sabha,219268,219273,False
219269,FOR FIXED CEMENTED BENCHES OF COMMON PLACES,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),16665.0,16749.0,2025-07-17T00:00:00.000Z,2026-04-13T00:00:00.000Z,False,Punjab,Lok Sabha,219269,219274,False
219270,FOR FIXED CEMENTED BENCHES OF COMMON PLACES,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),16665.0,16749.0,2025-07-17T00:00:00.000Z,2026-04-13T00:00:00.000Z,False,Punjab,Lok Sabha,219270,219275,False
219271,FOR FIXED CEMENTED BENCHES OF COMMON PLACES,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),16665.0,12562.0,2025-07-17T00:00:00.000Z,2026-04-13T00:00:00.000Z,False,Punjab,Lok Sabha,219271,219276,False
219272,FOR FIXED CEMENTED BENCHES OF COMMON PLACES,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),16665.0,12562.0,2025-07-17T00:00:00.000Z,2026-04-13T00:00:00.000Z,False,Punjab,Lok Sabha,219272,219277,False
200958,FOR FIXED GYM EQUIPMENTS,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),200000.0,300000.0,2025-05-19T00:00:00.000Z,2025-10-15T00:00:00.000Z,False,Punjab,Lok Sabha,200958,200824,False
216859,FOR FIXED OPEN GYM,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),300000.0,298634.0,2025-05-19T00:00:00.000Z,2025-11-17T00:00:00.000Z,True,Punjab,Lok Sabha,216859,200797,False
209174,FOR GYM EQUIPMENTS,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),200000.0,300000.0,2026-04-28T00:00:00.000Z,2025-10-15T00:00:00.000Z,False,Punjab,Lok Sabha,209174,279189,False
247587,FOR GYM EQUIPMENTS,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,MALERKOTLA(Deputy Commissioner Malerkotla_IDA),200000.0,300000.0,2026-04-28T00:00:00.000Z,2026-03-31T00:00:00.000Z,False,Punjab,Lok Sabha,247587,279199,False
193120,FOR MOBILE WATER TANKER,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA),200000.0,200000.0,2025-05-19T00:00:00.000Z,2025-08-28T00:00:00.000Z,False,Punjab,Lok Sabha,193120,200807,False
193122,FOR MOBILE WATER TANKER,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA),200000.0,200000.0,2025-06-16T00:00:00.000Z,2025-08-28T00:00:00.000Z,False,Punjab,Lok Sabha,193122,209155,False
199115,FOR MOBILE WATER TANKER,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),200000.0,200000.0,2025-06-16T00:00:00.000Z,2026-04-10T00:00:00.000Z,False,Punjab,Lok Sabha,199115,209157,False
200978,FOR MOBILE WATER TANKER,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,MALERKOTLA(Deputy Commissioner Malerkotla_IDA),200000.0,200000.0,2025-06-16T00:00:00.000Z,2026-04-22T00:00:00.000Z,True,Punjab,Lok Sabha,200978,209160,False
193124,FOR SEWERAGE,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA),500000.0,500000.0,2025-04-22T00:00:00.000Z,2026-05-08T00:00:00.000Z,True,Punjab,Lok Sabha,193124,193123,False
192904,FOR STREET AND DRAINS,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),200000.0,200000.0,2025-04-21T00:00:00.000Z,2026-02-02T00:00:00.000Z,False,Punjab,Lok Sabha,192904,192907,False
192889,FOR STREET LIGHTS,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),200000.0,293025.0,2025-05-19T00:00:00.000Z,2025-11-13T00:00:00.000Z,True,Punjab,Lok Sabha,192889,200802,False
192891,FOR STREET LIGHTS,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),300000.0,140652.0,2025-05-19T00:00:00.000Z,2025-11-13T00:00:00.000Z,True,Punjab,Lok Sabha,192891,200805,False
192890,FOR STREET LIGHTS,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),140652.0,293025.0,2025-10-21T00:00:00.000Z,2025-11-14T00:00:00.000Z,True,Punjab,Lok Sabha,192890,243214,False
192908,FOR STREET LIGHTS,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),200000.0,199257.0,2026-07-14T00:00:00.000Z,2025-11-14T00:00:00.000Z,True,Punjab,Lok Sabha,192908,294958,False
192913,FOR STREET LIGHTS,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),200000.0,199257.0,2026-07-14T00:00:00.000Z,2025-11-14T00:00:00.000Z,True,Punjab,Lok Sabha,192913,294960,False
213876,FOR STREET LIGHTS,Normal/Others,Shri Amar Singh,FATEHGARH SAHIB,FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA),200000.0,200000.0,2026-08-04T00:00:00.000Z,2026-08-19T00:00:00.000Z,True,Punjab,Lok Sabha,213876,301069,False
221576,"Constuction of Compound wall to Community hall at 19th ward, Hindupur",Normal/Others,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA),2462396.0,2462396.0,2025-07-23T00:00:00.000Z,2026-04-09T00:00:00.000Z,True,Andhra Pradesh,Lok Sabha,221576,1458,True
169462,Construction of Street by laying Interlock tiles From House of Jarnail Singh to house of Gurdas Singh via house of Jagseer Singh and house of Gagandeep Singh in Vill. Gurri Sangar Distt. Sri Muktsar Sahib,Normal/Others,AMRINDER SINGH RAJA WARRING,LUDHIANA,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),575000.0,285411.0,2025-01-28T00:00:00.000Z,2026-01-29T00:00:00.000Z,False,Punjab,Lok Sabha,169462,1091,False
181306,"Provisioning of 5000Lt Water tank with fire extinguisher at Village Warring, Constituency Sri Muktsar sahib, Distt. Sri Muktsar Sahib",Normal/Others,AMRINDER SINGH RAJA WARRING,LUDHIANA,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),250000.0,250000.0,2025-03-12T00:00:00.000Z,2025-06-12T00:00:00.000Z,False,Punjab,Lok Sabha,181306,1163,False
251538,"Provisioning of Indoor Gym Machines in Vill. Khokhar, Sri Muktsar Sahib",Normal/Others,AMRINDER SINGH RAJA WARRING,LUDHIANA,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),300000.0,300000.0,2025-12-01T00:00:00.000Z,2026-04-02T00:00:00.000Z,False,Punjab,Lok Sabha,251538,1783,False
234835,"PVC pipes and other material for flood protection work in water-logged area of Vill. Khuia Sarwar, Distt. Fazilka",Normal/Others,AMRINDER SINGH RAJA WARRING,LUDHIANA,FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA),249623.0,249623.0,2025-09-17T00:00:00.000Z,2025-10-23T00:00:00.000Z,True,Punjab,Lok Sabha,234835,1665,True
231977,Purchase of ambulances,Normal/Others,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,KAKCHING(Deputy Commissioner Kakching_ida),800989.0,800989.0,2025-09-07T00:00:00.000Z,2026-02-18T00:00:00.000Z,True,Manipur,Lok Sabha,231977,1611,True
212993,"Construction of Paver Block Public Street from the House of Sh. Pawan to the House of Sh. Ashok Sharma, Street No. - 7, Ward No. - 11, Kaithal, Distt Kaithal, Haryana",Normal/Others,Shri Anil Kumar Yadav Mandadi (2024-30),Sitting Rajya Sabha,KAITHAL(DC CUM NODAL OFFICERS MPLADS),500000.0,416831.0,2025-06-27T00:00:00.000Z,2026-03-07T00:00:00.000Z,True,Telangana,Rajya Sabha,212993,1405,True
